new_path,topic,year,author,title,original_path
01_Sceletium_Pharmacology/2020 - PROF - Journal of medical research and practice_1.pdf,01_Sceletium_Pharmacology,2020,PROF,Journal of medical research and practice,Other_Collections/Wen et al. - 2020 - Sceletium Tortuosum Effects on Central Nervous Sy.pdf
01_Sceletium_Pharmacology/2023 - Wynberg - Biopiracy Crying wolf or a lever for equity and conservation.pdf,01_Sceletium_Pharmacology,2023,Rachel Wynberg,Biopiracy: Crying wolf or a lever for equity and conservation?,Other_Collections/Wynberg - 2023 - Biopiracy Crying wolf or a lever for equity and c-1.pdf
01_Sceletium_Pharmacology/2023 - Wynberg - Biopiracy Crying wolf or a lever for equity and conservation_1.pdf,01_Sceletium_Pharmacology,2023,Rachel Wynberg,Biopiracy: Crying wolf or a lever for equity and conservation?,Other_Collections/Wynberg - 2023 - Biopiracy Crying wolf or a lever for equity and c.pdf
"01_Sceletium_Pharmacology/2022 - Yates - Determinants of Addiction Neurobiological, Behavioral, Cognitive, and Socioc....pdf",01_Sceletium_Pharmacology,2022,Justin R. Yates,"Determinants of Addiction: Neurobiological, Behavioral, Cognitive, and Sociocultural Factors","Other_Collections/Yates - 2023 - Determinants of addiction neurobiological, behavi-1.pdf"
"01_Sceletium_Pharmacology/2022 - Yates - Determinants of Addiction Neurobiological, Behavioral, Cognitive, and Socioc..._1.pdf",01_Sceletium_Pharmacology,2022,Justin R. Yates,"Determinants of Addiction: Neurobiological, Behavioral, Cognitive, and Sociocultural Factors","Other_Collections/Yates - 2023 - Determinants of addiction neurobiological, behavi.pdf"
01_Sceletium_Pharmacology/2018 - Zembe Mkabile   SAMANTHA REINDERS FOR NATURE 1.pdf,01_Sceletium_Pharmacology,2018,,,Other_Collections/Zembe-Mkabile - SAMANTHA REINDERS FOR NATURE-1.pdf
01_Sceletium_Pharmacology/2018 - Zembe Mkabile   SAMANTHA REINDERS FOR NATURE.pdf,01_Sceletium_Pharmacology,2018,,,Other_Collections/Zembe-Mkabile - SAMANTHA REINDERS FOR NATURE.pdf
00_Core_References/2018 - Echinocystis lobata 37 réf SciFInder au 2018 12 03.pdf,00_Core_References,2018,,,TEZ_Core/Echinocystis lobata 37 réf SciFInder au 2018 12 03.pdf
00_Core_References/2008 - doi10.1016j.jep.2008.07.043.pdf,00_Core_References,2008,,doi:10.1016/j.jep.2008.07.043,TEZ_Core/Gericke 2008.pdf
00_Core_References/2018 - Manganyi - Phylogenetic analysis and diversity of novel endophytic fungi isolated from m....pdf,00_Core_References,2018,Madira Coutlyne Manganyi,Phylogenetic analysis and diversity of novel endophytic fungi isolated from medicinal plant Sceletium tortuosum,TEZ_Core/Manganyi&al 2018.pdf
00_Core_References/2018 - Ranunculus sceleratus 110 réf dont 6 de Medline seul et 5 communes Sci FInde....pdf,00_Core_References,2018,,,TEZ_Core/Ranunculus sceleratus 110 réf dont 6 de Medline seul et 5 communes Sci FInder au 2018 12 03.pdf
00_Core_References/2018 - Ranunculus sceleratus 128 brevets SciFinder au 2018 12 03.pdf,00_Core_References,2018,,,TEZ_Core/Ranunculus sceleratus 128 brevets SciFinder au 2018 12 03.pdf
00_Core_References/2018 - Sandasi - Non-destructive quality assessment of herbal tea blends using hyperspectral i....pdf,00_Core_References,2018,Maxleene Sandasi,Non-destructive quality assessment of herbal tea blends using hyperspectral imaging,TEZ_Core/Sandasi&al 2018.pdf
00_Core_References/2018 - Sceletium tortuosum 44 réf SciFinder au 2018 12 03.pdf,00_Core_References,2018,,,TEZ_Core/Sceletium tortuosum 44 réf SciFinder au 2018 12 03.pdf
"00_Core_References/2018 - Veale - NMR structural elucidation of channaine, an unusual alkaloid from Sceletium t....pdf",00_Core_References,2018,Clinton G.L. Veale,"NMR structural elucidation of channaine, an unusual alkaloid from Sceletium tortuosum","TEZ_Core/Veale,&al 2018.pdf"
"00_Core_References/2019 - Yin - Sceletorines A and B, two minor novel dimeric alkaloids of Mesembryanthemum t....pdf",00_Core_References,2019,Hongquan Yin,"Sceletorines A and B, two minor novel dimeric alkaloids of Mesembryanthemum tortuosum (synonym Sceletium tortuosum)",TEZ_Core/Yin&al 2019.pdf
01_Sceletium_Pharmacology/2023 - (52) KH 001 BUT NOT OTHER TESTED ALKALOIDS DER.pdf,01_Sceletium_Pharmacology,2023,,,THESE_Main_Library/(52) KH-001 BUT NOT OTHER TESTED ALKALOIDS DER.pdf
"01_Sceletium_Pharmacology/2021 - Olatunji - Sceletium tortuosum  A review on its phytochemistry, pharmacokinetics, biolo....pdf",01_Sceletium_Pharmacology,2021,T.L. Olatunji,"Sceletium tortuosum : A review on its phytochemistry, pharmacokinetics, biological and clinical activities",THESE_Main_Library/0093216941/Sceletium tortuosum_ A review on its phytochem.pdf
01_Sceletium_Pharmacology/2023 - 0a4de12f 574e 4e82 85b8 bd1c399b605e.pdf,01_Sceletium_Pharmacology,2023,,,THESE_Main_Library/0a4de12f-574e-4e82-85b8-bd1c399b605e.pdf
01_Sceletium_Pharmacology/2003 - 1098 J.C.S. Perkin I1.pdf,01_Sceletium_Pharmacology,2003,,,THESE_Main_Library/1098 J.C.S. Perkin I1.pdf
01_Sceletium_Pharmacology/2015 - 133c4148 299a 4b10 9bbb ab0c5df8102c.pdf,01_Sceletium_Pharmacology,2015,,,THESE_Main_Library/133c4148-299a-4b10-9bbb-ab0c5df8102c.pdf
04_Clinical_Trials/2016 - Dimpfel - Psychophysiological Effects of Zembrin® Using Quantitative EEG Source Density..._1.pdf,04_Clinical_Trials,2016,"Wilfried Dimpfel, Nigel Gericke, Samir Suliman, Gwladys N. Chiegoua Dipah","Psychophysiological Effects of Zembrin® Using Quantitative EEG Source Density in Combination with Eye-Tracking in 60 Healthy Subjects. A Double-Blind, Randomized, Placebo-Controlled, 3-Armed Study with Parallel Design",THESE_Main_Library/18a11b7f-196b-4762-8c85-f7983b8e1ea9.pdf
01_Sceletium_Pharmacology/2008 - doi10.1016j.jep.2008.07.043_1.pdf,01_Sceletium_Pharmacology,2008,,doi:10.1016/j.jep.2008.07.043,THESE_Main_Library/2008GerickeViljoenSceletiumreview.pdf
01_Sceletium_Pharmacology/2015 - 2bbc572e bdcb 4ebb 9f67 22fd35aa92fe.pdf,01_Sceletium_Pharmacology,2015,,,THESE_Main_Library/2bbc572e-bdcb-4ebb-9f67-22fd35aa92fe.pdf
03_PDE4_Neurogenesis/2008 - PDE4 inhibitors current status.pdf,03_PDE4_Neurogenesis,2008,,PDE4 inhibitors: current status,THESE_Main_Library/3131abeb-fb7f-4c6c-b347-0e8eea5f3701.pdf
01_Sceletium_Pharmacology/2019 - Koob - Neurocircuitry of Addiction.pdf,01_Sceletium_Pharmacology,2019,George F Koob,Neurocircuitry of Addiction,THESE_Main_Library/3a55c7f2-aa40-4f01-92fc-52a8e978c131.pdf
01_Sceletium_Pharmacology/2023 - 64420 1.pdf,01_Sceletium_Pharmacology,2023,,,THESE_Main_Library/64420-1.pdf
01_Sceletium_Pharmacology/2008 - doi10.1016j.jep.2008.05.029_1.pdf,01_Sceletium_Pharmacology,2008,,doi:10.1016/j.jep.2008.05.029,THESE_Main_Library/A broad review of commercially important south.pdf
"04_Clinical_Trials/2013 - Nell - Randomized, Double-Blind, Parallel-Group, Placebo-Controlled Trial of Extract..._1.pdf",04_Clinical_Trials,2013,"Haylene Nell, Mirna Siebert, Pashini Chellan, and Nigel Gericke","A Randomized, Double-Blind, Parallel-Group, Placebo-Controlled Trial of Extract Sceletium tortuosum (Zembrin) in Healthy Adults","THESE_Main_Library/A randomized, double-blind, parallel-group, pl.pdf"
05_Khoi_San_Traditional/2008 - doi10.1016j.jep.2008.07.021_1.pdf,05_Khoi_San_Traditional,2008,,doi:10.1016/j.jep.2008.07.021,THESE_Main_Library/A review of Khoi-San and Cape Dutch medical et.pdf
01_Sceletium_Pharmacology/2014 - Murbach - toxicological safety assessment of a standardized extract of Sceletium tortuo..._1.pdf,01_Sceletium_Pharmacology,2014,Timothy S. Murbach,A toxicological safety assessment of a standardized extract of Sceletium tortuosum (Zembrin®) in rats,THESE_Main_Library/A toxicological safety assessment of a standar.pdf
"01_Sceletium_Pharmacology/2017 - Lewis - Addiction and the Brain Development, Not Disease_1.pdf",01_Sceletium_Pharmacology,2017,Marc Lewis,"Addiction and the Brain: Development, Not Disease","THESE_Main_Library/Addiction and the Brain_ Development, Not Dise.pdf"
01_Sceletium_Pharmacology/2015 - Pickard - Alternative models of addiction_1.pdf,01_Sceletium_Pharmacology,2015,Hanna Pickard,Alternative models of addiction,THESE_Main_Library/Alternative Models of Addiction.pdf
02_Ethnopharmacology/2011 - Viljoen - South African Herbal Pharmacopoeia Monographs of Medicinal and Aromatic Plants_1.pdf,02_Ethnopharmacology,2011,Alvaro Viljoen,The South African Herbal Pharmacopoeia: Monographs of Medicinal and Aromatic Plants,"THESE_Main_Library/Alvaro Viljoen, Maxleene Sandasi, Gerda Fouche.pdf"
01_Sceletium_Pharmacology/2021 - Gericke - acute dose-ranging evaluation of the antidepressant properties of Sceletium t..._1.pdf,01_Sceletium_Pharmacology,2021,Johané Gericke,An acute dose-ranging evaluation of the antidepressant properties of Sceletium tortuosum (Zembrin®) versus escitalopram in the Flinders Sensitive Line rat.,THESE_Main_Library/An acute dose-ranging evaluation of the antide.pdf
05_Khoi_San_Traditional/2022 - fphar-2022-895286 1..38_1.pdf,05_Khoi_San_Traditional,2022,,fphar-2022-895286 1..38,THESE_Main_Library/Antidepressant Effects of South African Plants.pdf
05_Khoi_San_Traditional/2004 - doi10.1016j.tips.2004.01.003_1.pdf,05_Khoi_San_Traditional,2004,,doi:10.1016/j.tips.2004.01.003,THESE_Main_Library/Antidepressant effects of inhibitors of cAMP p.pdf
"03_PDE4_Neurogenesis/2021 - Avchalumov - Plasticity in the Hippocampus, Neurogenesis and Drugs of Abuse_1.pdf",03_PDE4_Neurogenesis,2021,Yosef Avchalumov and Chitra D. Mandyam,"Plasticity in the Hippocampus, Neurogenesis and Drugs of Abuse",THESE_Main_Library/Avchalumov-2021-Plasticity in the Hippocampus.pdf
"01_Sceletium_Pharmacology/2021 - Berry - Effects of Zembrin® (Sceletium tortuosum) Supplementation on Mood, Soreness, ....pdf",01_Sceletium_Pharmacology,2021,"Angela R. Berry, Haley N. Langley, Rebecca R. Rogers, Courteney L. Benjamin, Tyler D. Williams and Christopher G. Ballmann","Effects of Zembrin® (Sceletium tortuosum) Supplementation on Mood, Soreness, and Performance Following Unaccustomed Resistance Exercise: A Pilot Study",THESE_Main_Library/Berry-2021-Effects of Zembrin® (Sceletium tort.pdf
01_Sceletium_Pharmacology/2023 - Wynberg - Biopiracy Crying wolf or a lever for equity and conservation_1.pdf,01_Sceletium_Pharmacology,2023,Rachel Wynberg,Biopiracy: Crying wolf or a lever for equity and conservation?,THESE_Main_Library/Biopiracy_ Crying wolf or a lever for equity a.pdf
01_Sceletium_Pharmacology/2021 - Khan - Brendler 2020-0332-MS_1.pdf,01_Sceletium_Pharmacology,2021,Faraz Khan,Brendler 2020-0332-MS,THESE_Main_Library/Brendler-2021-Sceletium for Managing Anxiety.pdf
02_Ethnopharmacology/2020 - Brunetti - Pharmacology of Herbal Sexual Enhancers A Review of Psychiatric and Neurolog..._1.pdf,02_Ethnopharmacology,2020,"Pietro Brunetti, Alfredo Fabrizio Lo Faro, Anastasio Tini, Francesco Paolo Busardò and Jeremy Carlier",Pharmacology of Herbal Sexual Enhancers: A Review of Psychiatric and Neurological Adverse Effects,THESE_Main_Library/Brunetti-2020-Pharmacology of Herbal Sexual En.pdf
"01_Sceletium_Pharmacology/2022 - Olatunji - Corrigendum to “Sceletium tortuosum A review on its phytochemistry, pharmaco....pdf",01_Sceletium_Pharmacology,2022,T.L. Olatunji,"Corrigendum to “Sceletium tortuosum: A review on its phytochemistry, pharmacokinetics, biological and clinical activities”  ...",THESE_Main_Library/Corrigendum to “Sceletium tortuosum_ A review.pdf
"01_Sceletium_Pharmacology/2022 - Yates - Determinants of Addiction Neurobiological, Behavioral, Cognitive, and Socioc..._1.pdf",01_Sceletium_Pharmacology,2022,Justin R. Yates,"Determinants of Addiction: Neurobiological, Behavioral, Cognitive, and Sociocultural Factors",THESE_Main_Library/DETERMINANTS OF ADDICTION.pdf
01_Sceletium_Pharmacology/2008 - doi10.1016S0079-6123(08)00919-9_1.pdf,01_Sceletium_Pharmacology,2008,,doi:10.1016/S0079-6123(08)00919-9,THESE_Main_Library/Dopamine_serotonin releasers as medications fo.pdf
01_Sceletium_Pharmacology/2015 - Dimpfel - Electropharmacogram of Sceletium tortuosum extract based on spectral local fi..._1.pdf,01_Sceletium_Pharmacology,2015,Wilfried Dimpfel,Electropharmacogram of Sceletium tortuosum extract based on spectral local field power in conscious freely moving rats,THESE_Main_Library/Electropharmacogram of Sceletium tortuosum ext.pdf
01_Sceletium_Pharmacology/2019 - Druart - Emerging Roles of Complement in Psychiatric Disorders_1.pdf,01_Sceletium_Pharmacology,2019,Mélanie Druart,Emerging Roles of Complement in Psychiatric Disorders,THESE_Main_Library/Emerging Roles of Complement in Psychiatric D1.pdf
01_Sceletium_Pharmacology/2020 - JSCR-08-14509 2476..2481_1.pdf,01_Sceletium_Pharmacology,2020,,JSCR-08-14509 2476..2481,THESE_Main_Library/Ergogenic Effects of 8 Days of Sceletium Tortu.pdf
02_Ethnopharmacology/2019 - Ethnobotanical research in sub-Saharan Africa - documenting and analysing ind..._1.pdf,02_Ethnopharmacology,2019,,"Ethnobotanical research in sub-Saharan Africa - documenting and analysing indigenous knowledge about medicinal, edible and other useful plants",THESE_Main_Library/Ethnobotanical research in sub-Saharan Africa.pdf
02_Ethnopharmacology/2022 - Kalicharan - Ethnopharmacology and biological activities of the Aizoaceae_1.pdf,02_Ethnopharmacology,2022,B. Kalicharan,Ethnopharmacology and biological activities of the Aizoaceae,THESE_Main_Library/Ethnopharmacology and biological activities of.pdf
04_Clinical_Trials/2015 - wemyss - Exploring Zembrin Extract Derived from South A.pdf,04_Clinical_Trials,2015,wemyss,,THESE_Main_Library/Exploring Zembrin Extract Derived from South A.pdf
01_Sceletium_Pharmacology/2020 - Faber - Variabilities in alkaloid concentration of Sceletium tortuosum (L.) N.E. Br i..._1.pdf,01_Sceletium_Pharmacology,2020,Richard James Faber,Variabilities in alkaloid concentration of Sceletium tortuosum (L.) N.E. Br in response to different soilless growing media and fertigation regimes in hydroponics,THESE_Main_Library/Faber-2020-Variabilities in alkaloid concentra.pdf
"01_Sceletium_Pharmacology/2014 - GC MS, LC MS(n), LC high resolution MS(n), and.pdf",01_Sceletium_Pharmacology,2014,,,"THESE_Main_Library/GC-MS, LC-MS(n), LC-high resolution-MS(n), and.pdf"
01_Sceletium_Pharmacology/2010 - Organized_Chaos - Microsoft Word - format.doc_1.pdf,01_Sceletium_Pharmacology,2010,Organized_Chaos,Microsoft Word - format.doc,THESE_Main_Library/HPLC analysis of mesembrine-type alkaloids in.pdf
01_Sceletium_Pharmacology/2015 - Coetzee - High-mesembrine Sceletium extract (Trimesemine™) is a monoamine releasing age....pdf,01_Sceletium_Pharmacology,2015,Dirk D. Coetzee,"High-mesembrine Sceletium extract (Trimesemine™) is a monoamine releasing agent, rather than only a selective serotonin reuptake inhibitor",THESE_Main_Library/High-mesembrine Sceletium extract (Trimesemine.pdf
01_Sceletium_Pharmacology/2018 - Bennett - Immunomodulatory effects of Sceletium tortuosum (Trimesemine™) elucidated in ....pdf,01_Sceletium_Pharmacology,2018,Amber C. Bennett,Immunomodulatory effects of Sceletium tortuosum (Trimesemine™) elucidated in vitro_ Implications for chronic disease,THESE_Main_Library/Immunomodulatory effects of Sceletium tortuosu.pdf
01_Sceletium_Pharmacology/2021 - Amit - In Silico Docking Analysis of Few Antidepressa.pdf,01_Sceletium_Pharmacology,2021,Amit,,THESE_Main_Library/In Silico Docking Analysis of Few Antidepressa.pdf
01_Sceletium_Pharmacology/2012 - In Vitro Permeation of Mesembrine Alkaloids fr.pdf,01_Sceletium_Pharmacology,2012,,,THESE_Main_Library/In Vitro Permeation of Mesembrine Alkaloids fr.pdf
01_Sceletium_Pharmacology/2021 - Sreekissoon - In vitro and ex vivo vegetative propagation and cytokinin profiles of Sceleti..._1.pdf,01_Sceletium_Pharmacology,2021,Amrisha Sreekissoon ,In vitro and ex vivo vegetative propagation and cytokinin profiles of Sceletium tortuosum (L.) N. E. Br.: a South African medicinal plant,THESE_Main_Library/In vitro and ex vivo vegetative propagation an.pdf
01_Sceletium_Pharmacology/2020 - PROF - Journal of medical research and practice_1.pdf,01_Sceletium_Pharmacology,2020,PROF,Journal of medical research and practice,THESE_Main_Library/JPBMS_Pei Yu_06_20_151_160.pdf
01_Sceletium_Pharmacology/2023 - James Faber 2022 The Importance ofSceletium to.pdf,01_Sceletium_Pharmacology,2023,,,THESE_Main_Library/James Faber-2022-The Importance ofSceletium to.pdf
01_Sceletium_Pharmacology/2010 - Journal of HIGH.pdf,01_Sceletium_Pharmacology,2010,,,THESE_Main_Library/Journal of HIGH.pdf
01_Sceletium_Pharmacology/2018 - ESPD50NigelGerickepaper.pdf_1.pdf,01_Sceletium_Pharmacology,2018,,ESPD50NigelGerickepaper.pdf,"THESE_Main_Library/Kabbo’s !Kwaiń_ The Past, Present and Possible.pdf"
01_Sceletium_Pharmacology/2023 - Stafford - Skeletons in the closet – Using a bibliometric lens to visualise phytochemic..._1.pdf,01_Sceletium_Pharmacology,2023,Dr. GI Stafford,"Skeletons in the closet? – Using a bibliometric lens to visualise phytochemical and pharmacological activities linked to Sceletium, a mood enhancer",THESE_Main_Library/Kaylan-2023-Skeletons in the closet_ – Using a.pdf
01_Sceletium_Pharmacology/2013 - Learning to forget  manipulating extinction an.pdf,01_Sceletium_Pharmacology,2013,,,THESE_Main_Library/Learning to forget_ manipulating extinction an.pdf
03_PDE4_Neurogenesis/2010 - Li 2011 Phosphodiesterase 4D knock out and RNA.pdf,03_PDE4_Neurogenesis,2010,,,THESE_Main_Library/Li-2011-Phosphodiesterase-4D knock-out and RNA.pdf
01_Sceletium_Pharmacology/2022 - Luo - network pharmacology-based approach to explore the therapeutic potential of S..._1.pdf,01_Sceletium_Pharmacology,2022,"Yangwen Luo, Luchen Shan, Lipeng Xu, Srinivas Patnala, Isadore Kanfer, Jiahao Li, Pei Yu, Xu Jun",A network pharmacology-based approach to explore the therapeutic potential of Sceletium tortuosum in the treatment of neurodegenerative disorders,THESE_Main_Library/Luo-2022-A network pharmacology-based approach.pdf
01_Sceletium_Pharmacology/2019 - Manganyi - Antibacterial activity of endophytic fungi isolated from Sceletium tortuosum ..._1.pdf,01_Sceletium_Pharmacology,2019,Madira Coutlyne Manganyi,Antibacterial activity of endophytic fungi isolated from Sceletium tortuosum L. (Kougoed),THESE_Main_Library/Manganyi-2019-Antibacterial activity of endoph.pdf
01_Sceletium_Pharmacology/2021 - Manganyi - Chewable Cure “Kanna” Biological and Pharmaceutical Properties of Sceletium ....pdf,01_Sceletium_Pharmacology,2021,"Madira Coutlyne Manganyi, Cornelius Carlos Bezuidenhout, Thierry Regnier and Collins Njie Ateba",A Chewable Cure “Kanna”: Biological and Pharmaceutical Properties of Sceletium tortuosum,THESE_Main_Library/Manganyi-2021-A Chewable Cure _Kanna__ Biologi.pdf
02_Ethnopharmacology/2023 - Medicinal Plants for Treatment of Prevalent Di.pdf,02_Ethnopharmacology,2023,,,THESE_Main_Library/Medicinal Plants for Treatment of Prevalent Di.pdf
"01_Sceletium_Pharmacology/2016 - Krstenansky - Mesembrine alkaloids_ Review of their occurrence, chemistry, and pharmacology_1.pdf",01_Sceletium_Pharmacology,2016,John L. Krstenansky,"Mesembrine alkaloids_ Review of their occurrence, chemistry, and pharmacology",THESE_Main_Library/Mesembrine alkaloids_ Review of their occurren.pdf
01_Sceletium_Pharmacology/2019 - Makolo - Mesembrine_ The archetypal psycho-active Sceletium alkaloid_1.pdf,01_Sceletium_Pharmacology,2019,Felix Makolo,Mesembrine_ The archetypal psycho-active Sceletium alkaloid,THESE_Main_Library/Mesembrine_ The archetypal psycho-active Scele.pdf
01_Sceletium_Pharmacology/2022 - Maphanga - Mesembryanthemum tortuosum L. alkaloids modify anxiety-like behaviour in a ze..._1.pdf,01_Sceletium_Pharmacology,2022,Veronica B. Maphanga,Mesembryanthemum tortuosum L. alkaloids modify anxiety-like behaviour in a zebrafish model,THESE_Main_Library/Mesembryanthemum tortuosum L. alkaloids modify.pdf
01_Sceletium_Pharmacology/2021 - Neisewander - Neuroimmune Mechanisms as Novel Treatment Targets for Substance Use Disorders....pdf,01_Sceletium_Pharmacology,2021,Janet L. Neisewander and Mark D. Namba,Neuroimmune Mechanisms as Novel Treatment Targets for Substance Use Disorders and Associated Comorbidities,THESE_Main_Library/Namba-2021-Neuroimmune Mechanisms as Novel Tre.pdf
01_Sceletium_Pharmacology/2018 - Koob - Neurobiology of addiction a neurocircuitry analysis_1.pdf,01_Sceletium_Pharmacology,2018,"George F Koob, Nora D Volkow",Neurobiology of addiction: a neurocircuitry analysis,THESE_Main_Library/Neurobiology of addiction_ a neurocircuitry an.pdf
01_Sceletium_Pharmacology/2019 - Hofford - Neuroimmune mechanisms of psychostimulant and opioid use disorders_1.pdf,01_Sceletium_Pharmacology,2019,"Rebecca S. Hofford, Scott J. Russo, Drew D. Kiraly",Neuroimmune mechanisms of psychostimulant and opioid use disorders,THESE_Main_Library/Neuroimmune mechanisms of psychostimulant and.pdf
"06_Related_Compounds/2017 - Klak - Out of southern Africa Origin, biogeography and age of the Aizooideae (Aizoa..._1.pdf",06_Related_Compounds,2017,Cornelia Klak,"Out of southern Africa: Origin, biogeography and age of the Aizooideae (Aizoaceae)","THESE_Main_Library/Out of southern Africa_ Origin, biogeography a.pdf"
01_Sceletium_Pharmacology/2020 - PDE inhibition in distinct cell types to recla.pdf,01_Sceletium_Pharmacology,2020,,,THESE_Main_Library/PDE inhibition in distinct cell types to recla.pdf
03_PDE4_Neurogenesis/2008 - PDE4 inhibitors  current status.pdf,03_PDE4_Neurogenesis,2008,,,THESE_Main_Library/PDE4 inhibitors_ current status.pdf
"03_PDE4_Neurogenesis/2023 - Diamant - PDE4-inhibitors A novel, targeted therapy for obstructive airways disease_1.pdf",03_PDE4_Neurogenesis,2023,"Zuzana Diamant, Domenico Spina","PDE4-inhibitors: A novel, targeted therapy for obstructive airways disease",THESE_Main_Library/PDE4-inhibitors A novel targeted therapy for obstructive airways disease.pdf
01_Sceletium_Pharmacology/2013 - Patnala 2013 Chemotaxonomic studies of mesembr.pdf,01_Sceletium_Pharmacology,2013,,,THESE_Main_Library/Patnala-2013-Chemotaxonomic studies of mesembr.pdf
01_Sceletium_Pharmacology/2011 - Harvey - Pharmacological actions of the South African medicinal and functional food pl..._1.pdf,01_Sceletium_Pharmacology,2011,Alan L. Harvey,Pharmacological actions of the South African medicinal and functional food plant Sceletium tortuosum and its principal alkaloids,THESE_Main_Library/Pharmacological actions of the South African m.pdf
03_PDE4_Neurogenesis/2017 - Olsen - Phosphodiesterase 4 inhibitors and drugs of abuse current knowledge and ther..._1.pdf,03_PDE4_Neurogenesis,2017,"Christopher M. Olsen, Qing-song Liu",Phosphodiesterase 4 inhibitors and drugs of abuse: current knowledge and therapeutic opportunities,THESE_Main_Library/Phosphodiesterase 4 inhibitors and drugs of ab.pdf
03_PDE4_Neurogenesis/2020 - Bhat - Phosphodiesterase-4 enzyme as a therapeutic target in neurological disorders_1.pdf,03_PDE4_Neurogenesis,2020,Abid Bhat,Phosphodiesterase-4 enzyme as a therapeutic target in neurological disorders,THESE_Main_Library/Phosphodiesterase-4 enzyme as a therapeutic ta.pdf
01_Sceletium_Pharmacology/2021 - CPA979917 1..14.pdf,01_Sceletium_Pharmacology,2021,,CPA979917 1..14,THESE_Main_Library/Plant-based Medicines (Phytoceuticals) in the.pdf
02_Ethnopharmacology/2013 - Shyam - Prasad 2013 Role of Traditional and Alternativ.pdf,02_Ethnopharmacology,2013,Dr Shyam,,THESE_Main_Library/Prasad-2013-Role of Traditional and Alternativ.pdf
01_Sceletium_Pharmacology/2014 - Administrator - S-EM-8-2-165-14-272-Sobiecki-J-F-Tx[7].pmd_1.pdf,01_Sceletium_Pharmacology,2014,Administrator,S-EM-8-2-165-14-272-Sobiecki-J-F-Tx[7].pmd,THESE_Main_Library/Psychoactive Plants_ A Neglected Area of Ethno.pdf
01_Sceletium_Pharmacology/2017 - Manda - Quantification of mesembrine and mesembrenone in mouse plasma using UHPLC‐QTo....pdf,01_Sceletium_Pharmacology,2017,"Vamshi K. Manda, Bharathi Avula, Mohammad K. Ashfaq, Naohito Abe, Ikhlas A. Khan, Shabana I. Khan",Quantification of mesembrine and mesembrenone in mouse plasma using UHPLC‐QToF‐MS: Application to a pharmacokinetic study,THESE_Main_Library/Quantification of mesembrine and mesembrenone.pdf
01_Sceletium_Pharmacology/2020 - Sceletium tortuosum (Zembrin®) ameliorates experimentally induced anxiety in ..._1.pdf,01_Sceletium_Pharmacology,2020,,Sceletium tortuosum (Zembrin®) ameliorates experimentally induced anxiety in healthy volunteers,THESE_Main_Library/Reay-2020-Sceletium tortuosum (Zembrin((R)) ).pdf
01_Sceletium_Pharmacology/2023 - Stafford - Skeletons in the closet – Using a bibliometric lens to visualise phytochemic..._1.pdf,01_Sceletium_Pharmacology,2023,Dr. GI Stafford,"Skeletons in the closet? – Using a bibliometric lens to visualise phytochemical and pharmacological activities linked to Sceletium, a mood enhancer",THESE_Main_Library/Reddy-2023-Skeletons in the closet_ – Using a.pdf
01_Sceletium_Pharmacology/2008 - doi10.1016j.jep.2008.08.010_1.pdf,01_Sceletium_Pharmacology,2008,,doi:10.1016/j.jep.2008.08.010,THESE_Main_Library/Review on plants with CNS-effects used in trad.pdf
"02_Ethnopharmacology/2016 - Royal pharmaceuticals Bioprospecting, rights, and traditional authority in S..._1.pdf",02_Ethnopharmacology,2016,,"Royal pharmaceuticals: Bioprospecting, rights, and traditional authority in South Africa","THESE_Main_Library/Royal pharmaceuticals_ Bioprospecting, rights.pdf"
01_Sceletium_Pharmacology/2023 - Sceletium Plant Species  Alkaloidal Components.pdf,01_Sceletium_Pharmacology,2023,,,THESE_Main_Library/Sceletium Plant Species_ Alkaloidal Components.pdf
01_Sceletium_Pharmacology/2020 - Sceletium tortuosum (Zembrin®) ameliorates experimentally induced anxiety in ..._1.pdf,01_Sceletium_Pharmacology,2020,,Sceletium tortuosum (Zembrin®) ameliorates experimentally induced anxiety in healthy volunteers,THESE_Main_Library/Sceletium tortuosum (Zembrin((R)) ) ameliorate.pdf
01_Sceletium_Pharmacology/2016 - Sceletium tortuosum demonstrates in vitro anti-HIV and free radical scavengin..._1.pdf,01_Sceletium_Pharmacology,2016,,Sceletium tortuosum demonstrates in vitro anti-HIV and free radical scavenging activity,THESE_Main_Library/Sceletium tortuosum demonstrates in vitro anti.pdf
01_Sceletium_Pharmacology/2018 - Bennett - Sceletium tortuosum may delay chronic disease progression via alkaloid-depend..._1.pdf,01_Sceletium_Pharmacology,2018,A.C. Bennett,Sceletium tortuosum may delay chronic disease progression via alkaloid-dependent antioxidant or anti-inflammatory action,THESE_Main_Library/Sceletium tortuosum may delay chronic disease.pdf
01_Sceletium_Pharmacology/2023 - Gericke - Sceletium tortuosum -derived mesembrine significantly contributes to the anxi..._1.pdf,01_Sceletium_Pharmacology,2023,Johané Gericke,"Sceletium tortuosum -derived mesembrine significantly contributes to the anxiolytic effect of Zembrin®, but its anti-depressant effect may require synergy of multiple plant constituents",THESE_Main_Library/Sceletium tortuosum-derived mesembrine signifi.pdf
